package,version,version_date,proxied
casefat,20090507,2026-04-07T07:57:29Z,
catdev,,2026-04-07T07:57:29Z,
catenate,1.0.0,2026-04-07T07:57:29Z,
caterpillar,20200202,2026-04-07T07:57:29Z,
catgraph,1.3.0,2026-04-07T07:57:29Z,
catplot,3.0.2,2026-04-07T07:57:29Z,
causaldata,20241103,2026-04-07T07:57:29Z,
causalspline,14.1,2026-04-07T07:57:29Z,
caustests,1.1.0,2026-04-07T07:57:29Z,
cb2html,1.9,2026-04-07T07:57:29Z,
cbarplot,1.0.0,2026-04-07T07:57:29Z,
cc_xd_didtextbook,20251006,2026-04-07T07:57:29Z,
ccmatch,20150127,2026-04-07T07:57:29Z,
ccmpre,20130222,2026-04-07T07:57:29Z,
cconv,1.1.0,2026-04-07T07:57:29Z,
cctable,20071011,2026-04-07T07:57:29Z,
ccv,1.0.0,2026-04-07T07:57:29Z,
ccweight,,2026-04-07T07:57:29Z,
cddens,20130603,2026-04-07T07:57:29Z,
cdecompose,20220204,2026-04-07T07:57:29Z,
cdfplot,20080714,2026-04-07T07:57:29Z,
cdfquantreg,20191019,2026-04-07T07:57:29Z,
cdfquantreg01,20230201,2026-04-07T07:57:29Z,
cdist,1.1.0,2026-04-07T07:57:29Z,
cdo,2.1.2,2026-04-07T07:57:29Z,
cdout,1.0.1,2026-04-07T07:57:29Z,
cdreg,20130603,2026-04-07T07:57:29Z,
cedesign,20180606,2026-04-07T07:57:29Z,
cem,20200215,2026-04-07T07:57:29Z,
cemimix,1.1.0,2026-04-07T07:57:29Z,
cenpois,19971217,2026-04-07T07:57:29Z,
censornb,1.0,2026-04-07T07:57:29Z,
censusapi,2.0.2,2026-04-07T07:57:29Z,
centcalc,3.0.0,2026-04-07T07:57:29Z,
center,1.10,2026-04-07T07:57:29Z,
centile2,2.0.0,2026-04-07T07:57:29Z,
centpow,20121019,2026-04-07T07:57:29Z,
centroid,1.1.0,2026-04-07T07:57:29Z,
cepois,2.0,2026-04-07T07:57:29Z,
ceq,20240318,2026-04-07T07:57:29Z,
cf2,20000407,2026-04-07T07:57:29Z,
cf3,2.1.9,2026-04-07T07:57:29Z,
cfbinout,2.3,2026-04-07T07:57:29Z,
cfby,20140905,2026-04-07T07:57:29Z,
cfitzrw,1.0.0,2026-04-07T07:57:29Z,
cflpois,,2026-04-07T07:57:29Z,
cfout,2.0.0,2026-04-07T07:57:29Z,
cfvars,1.0.0,2026-04-07T07:57:29Z,
cgmstats,1.0.0,2026-04-07T07:57:29Z,
cgroup,20091130,2026-04-07T07:57:29Z,
cgssm,0.2,2026-04-07T07:57:29Z,
chaid,20150215,2026-04-07T07:57:29Z,
chaidforest,20151016,2026-04-07T07:57:29Z,
changemean,3.0,2026-04-07T07:57:29Z,
chaos,,2026-04-07T07:57:29Z,
chardef,20120721,2026-04-07T07:57:29Z,
charlist,1.3.0,2026-04-07T07:57:29Z,
charlson,20170913,2026-04-07T07:57:29Z,
charon,1.0.0,2026-04-07T07:57:29Z,
chartab,1.0.0,2026-04-07T07:57:29Z,
charutil,,2026-04-07T07:57:29Z,
chatgpt,20240809,2026-04-07T07:57:29Z,
checkfor2,1.1,2026-04-07T07:57:29Z,
checkipaddresses,1.0.2,2026-04-07T07:57:29Z,
checkreg3,1.0.2,2026-04-07T07:57:29Z,
checkrob,1.1,2026-04-07T07:57:29Z,
checkshp,20260129,2026-04-07T07:57:29Z,
checkvar,1.2,2026-04-07T07:57:29Z,
chesspos,20221203,2026-04-07T07:57:29Z,
chesspuzzle,20221206,2026-04-07T07:57:29Z,
chewfile,20091016,2026-04-07T07:57:29Z,
chimchar,20250219,2026-04-07T07:57:29Z,
china_map,20080827,2026-04-07T07:57:29Z,
china_spatdwm,20090609,2026-04-07T07:57:29Z,
chinafin,20161021,2026-04-07T07:57:29Z,
chinagcode,20190409,2026-04-07T07:57:29Z,
chiplot,20010923,2026-04-07T07:57:29Z,
chm,1.0.7,2026-04-07T07:57:29Z,
choi_lr_test,20180924,2026-04-07T07:57:29Z,
chowreg,2.0,2026-04-07T07:57:29Z,
chowtest,20201125,2026-04-07T07:57:29Z,
chrdreg,20220628,2026-04-07T07:57:29Z,
chunky,1.0.0,2026-04-07T07:57:29Z,
chunky8,1.0.0,2026-04-07T07:57:29Z,
ci2,,2026-04-07T07:57:29Z,
ci_marg_mu,1.3,2026-04-07T07:57:29Z,
cibar,1.1.8,2026-04-07T07:57:29Z,
cibplot,1.0.0,2026-04-07T07:57:29Z,
cic,20190605,2026-04-07T07:57:29Z,
cid,1.0.2,2026-04-07T07:57:29Z,
cie,1.2,2026-04-07T07:57:29Z,
ciform,,2026-04-07T07:57:29Z,
cifunction,1.0.0,2026-04-07T07:57:29Z,
cihplot,1.0.4,2026-04-07T07:57:29Z,
cij,1.0.1,2026-04-07T07:57:29Z,
ciplot,1.1.1,2026-04-07T07:57:29Z,
cipolate,1.0.0,2026-04-07T07:57:29Z,
circlebar,20250124,2026-04-07T07:57:29Z,
circlepack,1.2,2026-04-07T07:57:29Z,
circstat,,2026-04-07T07:57:29Z,
circular,20040809,2026-04-07T07:57:29Z,
circularkde,20210312,2026-04-07T07:57:29Z,
cisd,20140123,2026-04-07T07:57:29Z,
cisets,1.1.3,2026-04-07T07:57:29Z,
cistat,1.0.1,2026-04-07T07:57:29Z,
citytoprovince,1.0,2026-04-07T07:57:29Z,
civplot,1.0.0,2026-04-07T07:57:29Z,
ciw,1.0.0,2026-04-07T07:57:29Z,
ciwidth_proportions_mc,20191201,2026-04-07T07:57:29Z,
cjive,20250510,2026-04-07T07:57:29Z,
ckvar,3.2.1,2026-04-07T07:57:29Z,
clan,1.3.1,2026-04-07T07:57:29Z,
clarify,20210520,2026-04-07T07:57:29Z,
classifylasso,20231018,2026-04-07T07:57:29Z,
classplot,20050704,2026-04-07T07:57:29Z,
classtab,1.0.1,2026-04-07T07:57:29Z,
classtabi,3.0.1,2026-04-07T07:57:29Z,
clean_class,20150423,2026-04-07T07:57:29Z,
clean_name,20250801,2026-04-07T07:57:29Z,
cleanchars,20131013,2026-04-07T07:57:29Z,
cleandisk,1.1,2026-04-07T07:57:29Z,
cleanlog,1.1,2026-04-07T07:57:29Z,
cleanplots,20221217,2026-04-07T07:57:29Z,
clemao_io,20180423,2026-04-07T07:57:29Z,
