keyword,package,filename,extension,release
_rals_graph_fadf,rals,../_/_rals_graph_fadf.ado,ado,2026-07-08
_rals_graph_ur,rals,../_/_rals_graph_ur.ado,ado,2026-07-08
_rals_mata,rals,../_/_rals_mata.ado,ado,2026-07-08
_rals_print_header,rals,../_/_rals_print_header.ado,ado,2026-07-08
_rals_print_two_row,rals,../_/_rals_print_two_row.ado,ado,2026-07-08
regsensitivity,regsensitivity,regsensitivity.ado,ado,2026-07-08
regsen,regsensitivity,regsen.ado,ado,2026-07-08
_regsen_write_tuples,regsensitivity,../_/_regsen_write_tuples.ado,ado,2026-07-08
_regsen_write_table_header,regsensitivity,../_/_regsen_write_table_header.ado,ado,2026-07-08
_regsen_write_scalar_table,regsensitivity,../_/_regsen_write_scalar_table.ado,ado,2026-07-08
_regsen_idset_plot,regsensitivity,../_/_regsen_idset_plot.ado,ado,2026-07-08
_regsen_display,regsensitivity,../_/_regsen_display.ado,ado,2026-07-08
_regsen_breakfront_plot,regsensitivity,../_/_regsen_breakfront_plot.ado,ado,2026-07-08
rfregk,rfregk,rfregk.ado,ado,2026-07-08
regoprob2,regoprob2,regoprob2.ado,ado,2026-07-08
regoprob2_autofit,regoprob2,regoprob2_autofit.ado,ado,2026-07-08
regoprob_p,regoprob2,regoprob_p.ado,ado,2026-07-08
regoprob_ll,regoprob2,regoprob_ll.ado,ado,2026-07-08
regoprob_llc,regoprob2,regoprob_llc.ado,ado,2026-07-08
goprobit,regoprob2,../g/goprobit.ado,ado,2026-07-08
goprobit_p,regoprob2,../g/goprobit_p.ado,ado,2026-07-08
goprobit_ll,regoprob2,../g/goprobit_ll.ado,ado,2026-07-08
ghquadm,regoprob2,../g/ghquadm.ado,ado,2026-07-08
rowranks,rowranks,rowranks.ado,ado,2026-07-08
rioc,rioc,rioc.ado,ado,2026-07-08
rioci,rioc,rioci.ado,ado,2026-07-08
reweight2,reweight2,reweight2.ado,ado,2026-07-08
round_exact,round_exact,round_exact.ado,ado,2026-07-08
rowsum,rowsum,rowsum.ado,ado,2026-07-08
randcmd,randcmd,randcmd.ado,ado,2026-07-08
readlog,readlog,readlog.ado,ado,2026-07-08
rca,rca,rca.ado,ado,2026-07-08
raschcvt,raschcvt,raschcvt.ado,ado,2026-07-08
radiusmatch,radiusmatch,radiusmatch.ado,ado,2026-07-08
rrreg,rrreg,rrreg.ado,ado,2026-07-08
regxfe,regxfe,regxfe.ado,ado,2026-07-08
itercenter,regxfe,../i/itercenter.ado,ado,2026-07-08
nredound,regxfe,../n/nredound.ado,ado,2026-07-08
reggae_music,reggae_music,reggae_music.ado,ado,2026-07-08
rdcont,rdcont,rdcont.ado,ado,2026-07-08
rangerun,rangerun,rangerun.ado,ado,2026-07-08
rangerun_run,rangerun,rangerun_run.ado,ado,2026-07-08
recode2,recode2,recode2.ado,ado,2026-07-08
rdpermute,rdpermute,rdpermute.ado,ado,2026-07-08
rocmic,rocmic,rocmic.ado,ado,2026-07-08
randinf,randinf,randinf.ado,ado,2026-07-08
reweight,reweight,reweight.ado,ado,2026-07-08
raewma,raewma,raewma.ado,ado,2026-07-08
rsens,rsens,rsens.ado,ado,2026-07-08
rdbalance,rdbalance,rdbalance.ado,ado,2026-07-08
reldist,reldist,reldist.ado,ado,2026-07-08
reldist_svyr,reldist,reldist_svyr.ado,ado,2026-07-08
rc2,rc2,rc2.ado,ado,2026-07-08
ridge2sls,ridge2sls,ridge2sls.ado,ado,2026-07-08
rcd,rcd,rcd.ado,ado,2026-07-08
ratio_plot,ratio_plot,ratio_plot.ado,ado,2026-07-08
rct_minim,rct_minim,rct_minim.ado,ado,2026-07-08
rwrmed,rwrmed,rwrmed.ado,ado,2026-07-08
rwrmed_calc,rwrmed,rwrmed_calc.ado,ado,2026-07-08
rasprt,rasprt,rasprt.ado,ado,2026-07-08
reorder,reorder,reorder.ado,ado,2026-07-08
rddsga,rddsga,rddsga.ado,ado,2026-07-08
rangejoin,rangejoin,rangejoin.ado,ado,2026-07-08
rangejoin_run,rangejoin,rangejoin_run.ado,ado,2026-07-08
rosner,rosner,rosner.ado,ado,2026-07-08
reglike,reglike,reglike.ado,ado,2026-07-08
runby,runby,runby.ado,ado,2026-07-08
runby_run,runby,runby_run.ado,ado,2026-07-08
rhsbsample,rhsbsample,rhsbsample.ado,ado,2026-07-08
reg_sandwich,reg_sandwich,reg_sandwich.ado,ado,2026-07-08
test_sandwich,reg_sandwich,../t/test_sandwich.ado,ado,2026-07-08
r2reg3,r2reg3,r2reg3.ado,ado,2026-07-08
_gvarprod,r2reg3,../_/_gvarprod.ado,ado,2026-07-08
ros,ros,ros.ado,ado,2026-07-08
boxcoxsim,ros,../b/boxcoxsim.ado,ado,2026-07-08
rds,rds,rds.ado,ado,2026-07-08
rds_network,rds,rds_network.ado,ado,2026-07-08
r2c,r2c,r2c.ado,ado,2026-07-08
rfl,rfl,rfl.ado,ado,2026-07-08
rflbdlg,rfl,rflbdlg.ado,ado,2026-07-08
rflsetmenu,rfl,rflsetmenu.ado,ado,2026-07-08
rfluse,rfl,rfluse.ado,ado,2026-07-08
rqr,rqr,rqr.ado,ado,2026-07-08
rqrplot,rqr,rqrplot.ado,ado,2026-07-08
rsz,rsz,rsz.ado,ado,2026-07-08
rtfclose,rtfutil,rtfclose.ado,ado,2026-07-08
rtfsect,rtfutil,rtfsect.ado,ado,2026-07-08
rtfopen,rtfutil,rtfopen.ado,ado,2026-07-08
rtflink,rtfutil,rtflink.ado,ado,2026-07-08
rtfcumlist,rtfutil,rtfcumlist.ado,ado,2026-07-08
rtfrstyle,rtfutil,rtfrstyle.ado,ado,2026-07-08
rtfhyper,rtfutil,rtfhyper.ado,ado,2026-07-08
rtfappend,rtfutil,rtfappend.ado,ado,2026-07-08
rtfinsert,rtfutil,rtfinsert.ado,ado,2026-07-08
redi,redi,redi.ado,ado,2026-07-08
regcheck,regcheck,regcheck.ado,ado,2026-07-08
rctmiss,rctmiss,rctmiss.ado,ado,2026-07-08
rctmiss_smlik,rctmiss,rctmiss_smlik.ado,ado,2026-07-08
randomtag,randomtag,randomtag.ado,ado,2026-07-08
resize,resize,resize.ado,ado,2026-07-08
resizec1leg,resize,resizec1leg.ado,ado,2026-07-08
resizecombine,resize,resizecombine.ado,ado,2026-07-08
readwind,readwind,readwind.ado,ado,2026-07-08
readfile,readwind,readfile.ado,ado,2026-07-08
fpe,readwind,../f/fpe.ado,ado,2026-07-08
rwolf,rwolf,rwolf.ado,ado,2026-07-08
rdpower,rdpower,rdpower.ado,ado,2026-07-08
reg_ss,reg_ss,reg_ss.ado,ado,2026-07-08
rev,rev,rev.ado,ado,2026-07-08
robstat,robstat,robstat.ado,ado,2026-07-08
randtreatseq,randtreatseq,randtreatseq.ado,ado,2026-07-08
robumeta,robumeta,robumeta.ado,ado,2026-07-08
rrcalc,rrcalc,rrcalc.ado,ado,2026-07-08
renames,renames,renames.ado,ado,2026-07-08
running,running,running.ado,ado,2026-07-08
raschtest,raschtest,raschtest.ado,ado,2026-07-08
raschtestv7,raschtest,raschtestv7.ado,ado,2026-07-08
gammasym,raschtest,../g/gammasym.ado,ado,2026-07-08
geekel2d,raschtest,../g/geekel2d.ado,ado,2026-07-08
elapse,raschtest,../e/elapse.ado,ado,2026-07-08
gausshermite,raschtest,../g/gausshermite.ado,ado,2026-07-08
genscore,raschtest,../g/genscore.ado,ado,2026-07-08
reformat,reformat,reformat.ado,ado,2026-07-08
rmhbounds,rmhbounds,rmhbounds.ado,ado,2026-07-08
reu,reu,reu.ado,ado,2026-07-08
roctabi,roctabi,roctabi.ado,ado,2026-07-08
reftex,reftex,reftex.ado,ado,2026-07-08
randcoef,randcoef,randcoef.ado,ado,2026-07-08
rori,rori,rori.ado,ado,2026-07-08
reset2,reset2,reset2.ado,ado,2026-07-08
retrodesign,retrodesign,retrodesign.ado,ado,2026-07-08
ridgeline_plot,ridgeline_plot,ridgeline_plot.ado,ado,2026-07-08
reshape8,reshape8,reshape8.ado,ado,2026-07-08
rsort,rsort,rsort.ado,ado,2026-07-08
respdiff,respdiff,respdiff.ado,ado,2026-07-08
ranktest,ranktest,ranktest.ado,ado,2026-07-08
ranktest9,ranktest,ranktest9.ado,ado,2026-07-08
ranktest11,ranktest,ranktest11.ado,ado,2026-07-08
resp,resp,resp.ado,ado,2026-07-08
_gresp,resp,../_/_gresp.ado,ado,2026-07-08
renlabv,renlabv,renlabv.ado,ado,2026-07-08
revrs,revrs,revrs.ado,ado,2026-07-08
sencode,revrs,../s/sencode.ado,ado,2026-07-08
robustpf,robustpf,robustpf.ado,ado,2026-07-08
report,report,report.ado,ado,2026-07-08
robustate,robustate,robustate.ado,ado,2026-07-08
reg2hdfe,reg2hdfe,reg2hdfe.ado,ado,2026-07-08
rwolf2,rwolf2,rwolf2.ado,ado,2026-07-08
rgroup,rgroup,rgroup.ado,ado,2026-07-08
rifhdreg,rif,rifhdreg.ado,ado,2026-07-08
rifsureg,rif,rifsureg.ado,ado,2026-07-08
rifmean,rif,rifmean.ado,ado,2026-07-08
rifsureg2,rif,rifsureg2.ado,ado,2026-07-08
bsrifhdreg,rif,../b/bsrifhdreg.ado,ado,2026-07-08
uqreg,rif,../u/uqreg.ado,ado,2026-07-08
oaxaca_rif,rif,../o/oaxaca_rif.ado,ado,2026-07-08
oaxaca_rif_old,rif,../o/oaxaca_rif_old.ado,ado,2026-07-08
_ghvar,rif,../_/_ghvar.ado,ado,2026-07-08
_grifvar,rif,../_/_grifvar.ado,ado,2026-07-08
_grifvar_old,rif,../_/_grifvar_old.ado,ado,2026-07-08
rmpw,rmpw,rmpw.ado,ado,2026-07-08
ranova,ranova,ranova.ado,ado,2026-07-08
romantoarabic,romantoarabic,romantoarabic.ado,ado,2026-07-08
robinson,robinson,robinson.ado,ado,2026-07-08
regcoef,regcoef,regcoef.ado,ado,2026-07-08
robnova,robnova,robnova.ado,ado,2026-07-08
rkqte,rkqte,rkqte.ado,ado,2026-07-08
reswage,reswage,reswage.ado,ado,2026-07-08
reswage_ll,reswage,reswage_ll.ado,ado,2026-07-08
recast2,recast2,recast2.ado,ado,2026-07-08
randomid,randomid,randomid.ado,ado,2026-07-08
rrlogit,rrlogit,rrlogit.ado,ado,2026-07-08
rrlogit_lf,rrlogit,rrlogit_lf.ado,ado,2026-07-08
rrlogit_p,rrlogit,rrlogit_p.ado,ado,2026-07-08
rbounds,rbounds,rbounds.ado,ado,2026-07-08
regmain,regmain,regmain.ado,ado,2026-07-08
_snormalreg,regmain,../_/_snormalreg.ado,ado,2026-07-08
_ltreg,regmain,../_/_ltreg.ado,ado,2026-07-08
_ggevaluator,regmain,../_/_ggevaluator.ado,ado,2026-07-08
_gedden,regmain,../_/_gedden.ado,ado,2026-07-08
_gtden,regmain,../_/_gtden.ado,ado,2026-07-08
_segb2evaluator,regmain,../_/_segb2evaluator.ado,ado,2026-07-08
_cauchyevaluator,regmain,../_/_cauchyevaluator.ado,ado,2026-07-08
_stden,regmain,../_/_stden.ado,ado,2026-07-08
_gedevaluator,regmain,../_/_gedevaluator.ado,ado,2026-07-08
_scauchyden,regmain,../_/_scauchyden.ado,ado,2026-07-08
_lcauchyevaluator,regmain,../_/_lcauchyevaluator.ado,ado,2026-07-08
_lnevaluator,regmain,../_/_lnevaluator.ado,ado,2026-07-08
_egb2evaluator,regmain,../_/_egb2evaluator.ado,ado,2026-07-08
_lnreg,regmain,../_/_lnreg.ado,ado,2026-07-08
_segb2den,regmain,../_/_segb2den.ado,ado,2026-07-08
_sgtden,regmain,../_/_sgtden.ado,ado,2026-07-08
_laplacereg,regmain,../_/_laplacereg.ado,ado,2026-07-08
_scauchyreg,regmain,../_/_scauchyreg.ado,ado,2026-07-08
_gtevaluator,regmain,../_/_gtevaluator.ado,ado,2026-07-08
_streg,regmain,../_/_streg.ado,ado,2026-07-08
_gb2evaluator,regmain,../_/_gb2evaluator.ado,ado,2026-07-08
_lcauchyreg,regmain,../_/_lcauchyreg.ado,ado,2026-07-08
_sgtreg,regmain,../_/_sgtreg.ado,ado,2026-07-08
_laplaceden,regmain,../_/_laplaceden.ado,ado,2026-07-08
_segb2reg,regmain,../_/_segb2reg.ado,ado,2026-07-08
_tevaluator,regmain,../_/_tevaluator.ado,ado,2026-07-08
_snormalden,regmain,../_/_snormalden.ado,ado,2026-07-08
_scauchyevaluator,regmain,../_/_scauchyevaluator.ado,ado,2026-07-08
_gedreg,regmain,../_/_gedreg.ado,ado,2026-07-08
_gtreg,regmain,../_/_gtreg.ado,ado,2026-07-08
_sgtevaluator,regmain,../_/_sgtevaluator.ado,ado,2026-07-08
_egb2den,regmain,../_/_egb2den.ado,ado,2026-07-08
_gb2reg,regmain,../_/_gb2reg.ado,ado,2026-07-08
_laplaceevaluator,regmain,../_/_laplaceevaluator.ado,ado,2026-07-08
_treg,regmain,../_/_treg.ado,ado,2026-07-08
_cauchyreg,regmain,../_/_cauchyreg.ado,ado,2026-07-08
_sgedden,regmain,../_/_sgedden.ado,ado,2026-07-08
_expevaluator,regmain,../_/_expevaluator.ado,ado,2026-07-08
_ggreg,regmain,../_/_ggreg.ado,ado,2026-07-08
_gammareg,regmain,../_/_gammareg.ado,ado,2026-07-08
_slaplaceden,regmain,../_/_slaplaceden.ado,ado,2026-07-08
_normalevaluator,regmain,../_/_normalevaluator.ado,ado,2026-07-08
_slaplaceevaluator,regmain,../_/_slaplaceevaluator.ado,ado,2026-07-08
_stevaluator,regmain,../_/_stevaluator.ado,ado,2026-07-08
_cauchyden,regmain,../_/_cauchyden.ado,ado,2026-07-08
_tden,regmain,../_/_tden.ado,ado,2026-07-08
_sgedreg,regmain,../_/_sgedreg.ado,ado,2026-07-08
_gammaevaluator,regmain,../_/_gammaevaluator.ado,ado,2026-07-08
_slaplacereg,regmain,../_/_slaplacereg.ado,ado,2026-07-08
_ltevaluator,regmain,../_/_ltevaluator.ado,ado,2026-07-08
_expreg,regmain,../_/_expreg.ado,ado,2026-07-08
_egb2reg,regmain,../_/_egb2reg.ado,ado,2026-07-08
_sgedevaluator,regmain,../_/_sgedevaluator.ado,ado,2026-07-08
_normalreg,regmain,../_/_normalreg.ado,ado,2026-07-08
_snormalevaluator,regmain,../_/_snormalevaluator.ado,ado,2026-07-08
rdci,rdci,rdci.ado,ado,2026-07-08
rdcii,rdci,rdcii.ado,ado,2026-07-08
redcapsetup,redcapsetup,redcapsetup.ado,ado,2026-07-08
rdrobust,rdrobust,rdrobust.ado,ado,2026-07-08
rdbwselect,rdrobust,rdbwselect.ado,ado,2026-07-08
rdplot,rdrobust,rdplot.ado,ado,2026-07-08
rdbwselect_2014,rdrobust,rdbwselect_2014.ado,ado,2026-07-08
rdbwselect_2014_kconst,rdrobust,rdbwselect_2014_kconst.ado,ado,2026-07-08
robit,robit,robit.ado,ado,2026-07-08
r2_nakagawa,r2_nakagawa,r2_nakagawa.ado,ado,2026-07-08
rctable,rctable,rctable.ado,ado,2026-07-08
robjb,robjb,robjb.ado,ado,2026-07-08
reshapelabel,reshapelabel,reshapelabel.ado,ado,2026-07-08
r2_mz,r2_mz,r2_mz.ado,ado,2026-07-08
rbfmvar,rbfmvar,rbfmvar.ado,ado,2026-07-08
rbfmvar_simulate,rbfmvar,rbfmvar_simulate.ado,ado,2026-07-08
rbfmvar_graph,rbfmvar,rbfmvar_graph.ado,ado,2026-07-08
_rbfmvar_mata,rbfmvar,../_/_rbfmvar_mata.ado,ado,2026-07-08
repkit,repkit,repkit.ado,ado,2026-07-08
repado,repkit,repado.ado,ado,2026-07-08
repadolog,repkit,repadolog.ado,ado,2026-07-08
reprun_dataline,repkit,reprun_dataline.ado,ado,2026-07-08
reprun,repkit,reprun.ado,ado,2026-07-08
reproot,repkit,reproot.ado,ado,2026-07-08
reproot_setup_dlg_output,repkit,reproot_setup_dlg_output.ado,ado,2026-07-08
reproot_parse,repkit,reproot_parse.ado,ado,2026-07-08
reproot_search,repkit,reproot_search.ado,ado,2026-07-08
reproot_setup,repkit,reproot_setup.ado,ado,2026-07-08
repscan,repkit,repscan.ado,ado,2026-07-08
lint,repkit,../l/lint.ado,ado,2026-07-08
regpred,regpred,regpred.ado,ado,2026-07-08
regoprob,regoprob,regoprob.ado,ado,2026-07-08
regoprob_p,regoprob,regoprob_p.ado,ado,2026-07-08
regoprob_ll,regoprob,regoprob_ll.ado,ado,2026-07-08
regoprob_llc,regoprob,regoprob_llc.ado,ado,2026-07-08
goprobit,regoprob,../g/goprobit.ado,ado,2026-07-08
goprobit_p,regoprob,../g/goprobit_p.ado,ado,2026-07-08
goprobit_ll,regoprob,../g/goprobit_ll.ado,ado,2026-07-08
ghquadm,regoprob,../g/ghquadm.ado,ado,2026-07-08
regoptwgt,regoptwgt,regoptwgt.ado,ado,2026-07-08
regoptwgt_loglik1endog,regoptwgt,regoptwgt_loglik1endog.ado,ado,2026-07-08
regoptwgt_loglik2endog,regoptwgt,regoptwgt_loglik2endog.ado,ado,2026-07-08
regoptwgt_loglik3plusendog,regoptwgt,regoptwgt_loglik3plusendog.ado,ado,2026-07-08
regfit,regfit,regfit.ado,ado,2026-07-08
repest,repest,repest.ado,ado,2026-07-08
runparscale,runparscale,runparscale.ado,ado,2026-07-08
rel_clust,rel_clust,rel_clust.ado,ado,2026-07-08
randomselect,randomselect,randomselect.ado,ado,2026-07-08
rensheet,rensheet,rensheet.ado,ado,2026-07-08
rdbwdensity,rddensity,rdbwdensity.ado,ado,2026-07-08
rddensity,rddensity,rddensity.ado,ado,2026-07-08
regpar,regpar,regpar.ado,ado,2026-07-08
regpar_p,regpar,regpar_p.ado,ado,2026-07-08
rii,rii,rii.ado,ado,2026-07-08
rmanova,rmanova,rmanova.ado,ado,2026-07-08
ranvar,ranvar,ranvar.ado,ado,2026-07-08
ranvar2,ranvar,ranvar2.ado,ado,2026-07-08
rollreg,rollreg,rollreg.ado,ado,2026-07-08
rcsgen,rcsgen,rcsgen.ado,ado,2026-07-08
rcsgen_example,rcsgen,rcsgen_example.ado,ado,2026-07-08
rsource,rsource,rsource.ado,ado,2026-07-08
revcat,revcat,revcat.ado,ado,2026-07-08
revcat_ll,revcat,revcat_ll.ado,ado,2026-07-08
revcat_pred,revcat,revcat_pred.ado,ado,2026-07-08
reg2docx,reg2docx,reg2docx.ado,ado,2026-07-08
sum2docx,reg2docx,../s/sum2docx.ado,ado,2026-07-08
relrank,relrank,relrank.ado,ado,2026-07-08
rdecompose,rdecompose,rdecompose.ado,ado,2026-07-08
rifle,rifle,rifle.ado,ado,2026-07-08
radf,radf,radf.ado,ado,2026-07-08
radf0,radf,radf0.ado,ado,2026-07-08
rcentile,rcentile,rcentile.ado,ado,2026-07-08
rho_xtregar,rho_xtregar,rho_xtregar.ado,ado,2026-07-08
readreplace,readreplace,readreplace.ado,ado,2026-07-08
regen,regen,regen.ado,ado,2026-07-08
block_and_cluster_ra,randomizr,../b/block_and_cluster_ra.ado,ado,2026-07-08
block_ra,randomizr,../b/block_ra.ado,ado,2026-07-08
cluster_ra,randomizr,../c/cluster_ra.ado,ado,2026-07-08
complete_ra,randomizr,../c/complete_ra.ado,ado,2026-07-08
simple_ra,randomizr,../s/simple_ra.ado,ado,2026-07-08
rmcorr,rmcorr,rmcorr.ado,ado,2026-07-08
randomize,randomize,randomize.ado,ado,2026-07-08
relyplot,relyplot,relyplot.ado,ado,2026-07-08
rankseg,rankseg,rankseg.ado,ado,2026-07-08
ridgereg,ridgereg,ridgereg.ado,ado,2026-07-08
robreg,robreg,robreg.ado,ado,2026-07-08
regtable,regtable,regtable.ado,ado,2026-07-08
ridgeline,ridgeline,ridgeline.ado,ado,2026-07-08
joyplot,ridgeline,../j/joyplot.ado,ado,2026-07-08
robbox,robbox,robbox.ado,ado,2026-07-08
richness,richness,richness.ado,ado,2026-07-08
r2_mlm,r2_mlm,r2_mlm.ado,ado,2026-07-08
r2_mlm_2L,r2_mlm,r2_mlm_2L.ado,ado,2026-07-08
r2_mlm_3L,r2_mlm,r2_mlm_3L.ado,ado,2026-07-08
r2_mlm_4L,r2_mlm,r2_mlm_4L.ado,ado,2026-07-08
r2_mlm_5L,r2_mlm,r2_mlm_5L.ado,ado,2026-07-08
raschify,raschify,raschify.ado,ado,2026-07-08
resetxt,resetxt,resetxt.ado,ado,2026-07-08
renvarlab,renvarlab,renvarlab.ado,ado,2026-07-08
randmarkovseq,randmarkovseq,randmarkovseq.ado,ado,2026-07-08
rdexo,rdexo,rdexo.ado,ado,2026-07-08
ikbw,rdexo,../i/ikbw.ado,ado,2026-07-08
rrp,rrp,rrp.ado,ado,2026-07-08
renfiles,renfiles,renfiles.ado,ado,2026-07-08
relicoef,relicoef,relicoef.ado,ado,2026-07-08
r_to_d,r_to_d,r_to_d.ado,ado,2026-07-08
repeatability,repeatability,repeatability.ado,ado,2026-07-08
rmclass,rmclass,rmclass.ado,ado,2026-07-08
r2o,r2o,r2o.ado,ado,2026-07-08
realcomimpute,realcomimpute,realcomimpute.ado,ado,2026-07-08
realcomimputeload,realcomimpute,realcomimputeload.ado,ado,2026-07-08
rddid,rddid,rddid.ado,ado,2026-07-08
rddidplot,rddid,rddidplot.ado,ado,2026-07-08
rddid_post_bw,rddid,rddid_post_bw.ado,ado,2026-07-08
rmse,rmse,rmse.ado,ado,2026-07-08
reclink,reclink,reclink.ado,ado,2026-07-08
reffadjustsim,reffadjust,reffadjustsim.ado,ado,2026-07-08
reffadjust4nlcom,reffadjust,reffadjust4nlcom.ado,ado,2026-07-08
regaxis,regaxis,regaxis.ado,ado,2026-07-08
logaxis,regaxis,../l/logaxis.ado,ado,2026-07-08
rrr,rrr,rrr.ado,ado,2026-07-08
rdcv,rdcv,rdcv.ado,ado,2026-07-08
rcspline,rcspline,rcspline.ado,ado,2026-07-08
toroman,roman,../t/toroman.ado,ado,2026-07-08
fromroman,roman,../f/fromroman.ado,ado,2026-07-08
regall,regall,regall.ado,ado,2026-07-08
regsets,regall,regsets.ado,ado,2026-07-08
reshape3,reshape3,reshape3.ado,ado,2026-07-08
regdis,regdis,regdis.ado,ado,2026-07-08
reganat,reganat,reganat.ado,ado,2026-07-08
regresby,regresby,regresby.ado,ado,2026-07-08
r2nlsur,r2nlsur,r2nlsur.ado,ado,2026-07-08
_gvarprod,r2nlsur,../_/_gvarprod.ado,ado,2026-07-08
raschpower,raschpower,raschpower.ado,ado,2026-07-08
pcm,raschpower,../p/pcm.ado,ado,2026-07-08
regsave,regsave,regsave.ado,ado,2026-07-08
regsave_tbl,regsave,regsave_tbl.ado,ado,2026-07-08
reporterror,reporterror,reporterror.ado,ado,2026-07-08
rosali,rosali,rosali.ado,ado,2026-07-08
rspeedindex,rspeedindex,rspeedindex.ado,ado,2026-07-08
rdmse,rdmse,rdmse.ado,ado,2026-07-08
altfrdbwselect,rdmse,../a/altfrdbwselect.ado,ado,2026-07-08
altrdbwselect,rdmse,../a/altrdbwselect.ado,ado,2026-07-08
altrdvce,rdmse,../a/altrdvce.ado,ado,2026-07-08
kconst,rdmse,../k/kconst.ado,ado,2026-07-08
rdmsef,rdmse,rdmsef.ado,ado,2026-07-08
rdmses_cct2014,rdmse,rdmses_cct2014.ado,ado,2026-07-08
rdmses,rdmse,rdmses.ado,ado,2026-07-08
