A1	A2	A3	A4	A5	A6	A7	A8
1175.664	511.074	134.218	95.829	120.547	267.861	246.55	908.135
1112.968	513.594	131.915	100.36	121.271	262.815	244.543	883.05
1082.294	474.16	122.521	105.315	119.139	262.237	245.347	882.613
1047.016	432.844	117.044	97.401	111.203	260.436	245.305	860.616
1146.236	451.645	120.979	84.438	117.126	270.399	248.576	885.905
1098.687	453.767	120.754	93.029	118.056	269.523	252.636	869.654
1144.824	465.189	116.55	89.08	120.199	286.499	265.983	901.568
1136.761	461.405	119.711	82.927	124.866	301.321	272.857	892.04
1217.658	538.393	117.57	80.888	128.86	289.053	277.714	912.577
1222.809	487.002	122.698	74.524	126.09	286.754	264.447	923.227
1196	499.245	124.105	72.001	124.613	305.546	264.472	909.295
1104.995	488.86	119.642	61.866	122.152	293.343	255.818	907.269
879.017	398.787	114.838	68.015	121.769	280.508	254.972	864.336
866.584	403.602	113	65.523	123.284	288.923	255.386	895.941
854.314	311.711	107.096	61.526	119.573	283.269	246.107	877.121
911.192	358.667	103.552	59.861	122.617	292.654	264.638	917.758
905.017	313.861	102.442	55.704	127.04	285.871	265.798	912.683
953.075	354.634	99.321	61.182	128.87	293.905	275.126	933.857
885.709	324.111	93.824	56.99	125.496	288.36	267.708	915.729
893.167	337.216	100.677	54.515	126.874	301.866	275.877	915.299
943.095	366.276	103.572	52.759	130.249	302.889	269.886	893.788
1004.625	382.434	105.782	53.696	132.871	308.985	272.582	928.912
867.406	350.401	99.558	42.097	134.239	319.64	277.483	915.963
893.128	314.683	95.955	37.974	135.032	320.489	280.354	910.101
882.973	279.078	97.758	39.468	143.28	330.354	294.244	922.318
899.387	267.571	93.394	40.304	143.406	332.168	294.015	944.581
928.343	300.537	97.218	48.717	153.097	351.532	307.264	961.916
965.458	301.742	96.912	48.848	146.117	348.102	302.966	980.909
952.149	309.153	98.241	48.72	150.405	344.956	312.526	984.882
967.721	314.07	103.228	54.605	158.915	350.441	328.528	1004.264
1006.253	339.799	105.124	50.504	162.005	357.96	332.247	989.838
1040.835	348.866	105.171	51.038	169.778	370.238	348.718	1024.708
1063.742	336.324	108.189	52.775	170.24	387.852	354.402	1043.552
1046.687	342.623	110.804	54.596	176.235	417.51	379.469	1053.186
1025.25	317.522	114.5	50.437	180.591	438.436	384.862	1073.497
1038.076	312.631	116.037	51.624	184.893	428.769	398.474	1063.591
1040.694	317.893	117.671	51.628	188.739	441.75	393.679	1061.652
1010.454	336.597	113.974	49.665	187.503	431.918	382.747	1073.34
1002.236	323.745	112.763	47.707	186.796	410.434	385.914	1066.85
957.45	314.327	112.95	45.337	181.25	428.667	382.215	1049.809
921.365	264.25	106.192	44.473	177.886	428.936	383.903	1070.314
859.264	229.373	107.173	44.514	188.861	439.876	397.453	1067.545
843.702	196.366	99.364	40.953	180.978	432.865	391.782	1051.015
874.943	214.089	92.059	40.079	177.193	438.842	396.391	1048.045
809.821	182.023	89.431	34.865	175.859	424.928	382.264	1050.635
812.977	176.666	83.433	38.068	174.209	419.181	377.305	1061.441
790.276	168.842	83.546	36.554	168.992	413.359	390.209	1083.676
841.039	155.985	81.79	34.974	171.582	422.792	395.401	1099.805
863.826	154.974	89.43	33.835	181.514	438.928	404.361	1113.662
918.291	211.795	91.449	32.953	190.556	461.461	418.865	1136.994
876.947	166.798	84.078	29.728	187.167	463.798	413.511	1094.391
881.203	157.257	85.277	28.166	180.946	454.658	416.029	1095.77
779.882	139.768	81.501	24.224	179.516	431.893	399.844	1048.423
725.934	116.038	78.053	23.028	171.304	421.457	383.474	1035.996
645.375	84.516	77.873	23.645	166.967	431.523	384.984	1051.221
558.163	65.634	77.359	19.773	154.761	396.392	325.548	1007.917
490.522	62.507	78.456	24.771	159.924	385.357	333.472	948.282
459.156	59.007	80.757	25.849	159.845	380.37	319.119	947.44
556.665	43.805	80.995	27.716	161.012	373.994	312.176	984.294
558.113	42.189	84.061	30.701	150.37	369.496	322.718	1007.674
537.593	31.221	81.842	29.068	135.392	356.524	297.948	954.161
538.519	37.695	77.168	30.556	142.307	348.612	307.557	928.643
555.459	58.11	76.263	32.283	161.482	382.808	340.506	1011.297
587.218	64.543	75.126	32.161	164.922	388.01	346.618	1042.319
578.899	59.166	75.565	32.07	164.931	387.97	357.337	1049.357
679.597	65.694	76.948	36.089	169.16	405.332	379.145	1096.792
616.158	64.163	78.962	35.412	162.166	398.899	366.629	1079.604
673.414	70.032	78.007	35.659	164.989	414.283	379.187	1116.347
709.375	82.322	73.665	33.947	160.99	437.015	392.269	1152.396
601.256	70.412	74.852	31.276	158.473	422.445	382.329	1116.234
575.303	63.512	78.478	31.345	158.37	429.232	390.241	1129.877
540.768	63.864	75.287	29.799	154.606	431.859	382.529	1143.679
566.418	67.018	77.75	30.139	160.559	450.324	401.296	1190.537
550.538	64.408	80.37	30.36	163.242	466.527	403.068	1196.343
531.094	69.818	90.007	30.597	172.084	497.628	431.868	1236.764
460.612	60.957	86.458	26.312	167.289	449.352	383.905	1181.399
414.461	61.52	89.315	23.12	170.282	450.401	406.432	1200.55
393.294	57.137	89.964	24.717	169.486	442.699	396.218	1233.524
449.329	62.006	86.495	22.917	168.062	434.541	392.273	1214.264
460.004	75.458	89.761	23.945	164.054	425.996	386.24	1218.705
449.901	82.994	90.159	23.284	159.108	425.308	386.513	1205.58
421.328	83.235	86.952	23.669	157.763	436.598	392.654	1216.398
456.759	86.92	97.692	24.299	153.615	427.582	376.718	1217.94
467.181	102.323	99.636	24.291	146.997	449.105	390.953	1268.367
528.125	113.76	99.181	26.8	142.182	455.224	390.185	1287.002
542.861	103.551	97.457	27.607	146.716	444.279	380.536	1262.124
575.127	103.957	100.244	27.225	148.631	448.816	373.727	1267.364
614.117	86.382	92.261	30.151	151.365	454.171	387.884	1317.375
640.565	104.216	94.793	30.537	140.4	440.391	380.427	1296.824
615.374	110.615	90.436	33.159	138.506	435.311	368.062	1330.249
641.694	122.24	88.671	33.373	137.489	434.435	375.564	1312.536
703.023	134.811	99.958	36.098	140.673	441.216	385.95	1301.664
714.625	109.525	108.369	35.123	143.9	425.1	388.418	1333.668
651.098	130.362	106.767	33.266	140.251	426.675	383.225	1309.449
604.385	129.008	100.291	31.627	139.672	411.746	370.439	1253.584
621.389	131.249	107.356	33.788	135.759	412.686	376.281	1271.362
607.178	144.217	105.495	38.903	138.44	416.493	375.879	1273.4
651.916	148.129	107.646	40.2	134.287	409.579	373.977	1308.806
606.03	147.05	107.873	44.104	130.813	410.574	380.198	1283.782
656.521	160.33	109.619	48.302	130.176	404.977	377.632	1349.309
627.795	174.317	114.772	46.709	129.134	411.719	371.957	1361.085
623.936	167.961	121.613	43.284	128.931	410.764	367.6	1374.789
602.484	155.058	122.837	41.835	132.605	398.54	368.541	1329.074
575.599	145.409	120.678	42.229	135.27	382.304	353.834	1307.261
544.279	128.702	121.434	40.302	132.297	384.591	352.406	1280.12
544.449	126.629	119.327	36.882	132.411	388.934	355.144	1263.175
540.358	129.28	124.131	42.07	133.184	391.3	360.762	1286.514
544.783	130.025	130.518	41.884	132.613	401.729	367.235	1329.039
576.813	126.496	126.533	41.162	131.04	396.776	367.571	1282.614
596.747	126.72	127.74	44.581	127.828	405.701	375.011	1311.919
596.833	104.268	125.004	42.678	124.645	399.316	355.502	1283.299
